8,73,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
11,74,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
2,71,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,J/nlo1r/v6OtcsTooILn3TSOo8o=
10,75,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
8,72,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
0,73,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,LsOOdXbcO4FIsTLVY1PAnKHqnPA=
4,72,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,LsOOdXbcO4FIsTLVY1PAnKHqnPA=
9,74,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
1,70,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,J/nlo1r/v6OtcsTooILn3TSOo8o=
0,71,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,J/nlo1r/v6OtcsTooILn3TSOo8o=
6,70,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,J/nlo1r/v6OtcsTooILn3TSOo8o=
4,71,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,J/nlo1r/v6OtcsTooILn3TSOo8o=
8,71,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,dOmL25g1+MxwrQ97g3NHoL7hqXs=
9,75,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
10,74,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
9,72,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
8,75,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,eEAmv5TUH49KjQWux7yRLdUToss=
0,69,e/Ke6LNisVhGxEzcRt8d4TjsGQ8=,J/nlo1r/v6OtcsTooILn3TSOo8o=
10,73,O+aUyC7Nwm+jj/XaFtBL4lm7LOk=,eEAmv5TUH49KjQWux7yRLdUToss=
8,74,O+aUyC7Nwm+jj/XaFtBL4lm7LOk=,eEAmv5TUH49KjQWux7yRLdUToss=
3,71,O+aUyC7Nwm+jj/XaFtBL4lm7LOk=,J/nlo1r/v6OtcsTooILn3TSOo8o=
5,69,O+aUyC7Nwm+jj/XaFtBL4lm7LOk=,J/nlo1r/v6OtcsTooILn3TSOo8o=
