6,1,h7i1U/eFfbOxikr1061u6KyQmAo=,QuOxvwCOZr+2zDMCNv9mcvYSjXE=
5,1,h7i1U/eFfbOxikr1061u6KyQmAo=,XOcpAn1gZQCGbXUhU/xiKDGUnVs=
2,0,dsne1b2k9Apb942hGshtQPe66p4=,WW3hDdtx7iYcOak3niQglyQxoT4=
1,0,dsne1b2k9Apb942hGshtQPe66p4=,UDeFQMyY8Q8Xbtif+cfJGnhAddI=
3,0,dsne1b2k9Apb942hGshtQPe66p4=,WW3hDdtx7iYcOak3niQglyQxoT4=
4,0,dsne1b2k9Apb942hGshtQPe66p4=,XOcpAn1gZQCGbXUhU/xiKDGUnVs=
8,1,fSSn2PgXN3fX8xsrHtf6S6CCk9g=,4xkrE47Hzv7qsqtdp2AAns9ZP90=
7,1,fSSn2PgXN3fX8xsrHtf6S6CCk9g=,QuOxvwCOZr+2zDMCNv9mcvYSjXE=
9,1,fiZxsr9b94/CVL/+WfYPAoXLKAg=,4xkrE47Hzv7qsqtdp2AAns9ZP90=
0,1,iPPxlHOTUVO8eoWtBl+4Gb1ZbVk=,UDeFQMyY8Q8Xbtif+cfJGnhAddI=
4,1,LfKIPRLCvAPvK/nf92hlPvSyucE=,XOcpAn1gZQCGbXUhU/xiKDGUnVs=
3,1,LfKIPRLCvAPvK/nf92hlPvSyucE=,WW3hDdtx7iYcOak3niQglyQxoT4=
2,1,ssyymFqxlhD9N2Pp5oBnvGTekPA=,WW3hDdtx7iYcOak3niQglyQxoT4=
1,1,ssyymFqxlhD9N2Pp5oBnvGTekPA=,UDeFQMyY8Q8Xbtif+cfJGnhAddI=
0,0,iPPxlHOTUVO8eoWtBl+4Gb1ZbVk=,UDeFQMyY8Q8Xbtif+cfJGnhAddI=
6,0,dsne1b2k9Apb942hGshtQPe66p4=,QuOxvwCOZr+2zDMCNv9mcvYSjXE=
5,0,dsne1b2k9Apb942hGshtQPe66p4=,XOcpAn1gZQCGbXUhU/xiKDGUnVs=
9,0,dsne1b2k9Apb942hGshtQPe66p4=,4xkrE47Hzv7qsqtdp2AAns9ZP90=
8,0,dsne1b2k9Apb942hGshtQPe66p4=,4xkrE47Hzv7qsqtdp2AAns9ZP90=
7,0,dsne1b2k9Apb942hGshtQPe66p4=,QuOxvwCOZr+2zDMCNv9mcvYSjXE=
2,2,ssyymFqxlhD9N2Pp5oBnvGTekPA=,S1y454KqJ9UV0S6/HLgQ2/4lC8c=
1,2,ssyymFqxlhD9N2Pp5oBnvGTekPA=,HoxZIilXUcmV4H/X1YziwN5orqM=
1,3,ssyymFqxlhD9N2Pp5oBnvGTekPA=,HoxZIilXUcmV4H/X1YziwN5orqM=
1,4,ssyymFqxlhD9N2Pp5oBnvGTekPA=,Ln0FD9rZ0SO65SUW9OAL2KUZkjc=
2,4,ssyymFqxlhD9N2Pp5oBnvGTekPA=,G1g1x605g8snqzCFB46NbJPGfJg=
